Athlete,Age,Meet,Date,Distance,Stroke,Course,Time,Split 50m Cumulative,Split 50m Individual,Split 100m Cumulative,Split 100m Individual,Split 150m Cumulative,Split 150m Individual,Split 200m Cumulative,Split 200m Individual,Split 250m Cumulative,Split 250m Individual,Split 300m Cumulative,Split 300m Individual,Split 350m Cumulative,Split 350m Individual,Split 400m Cumulative,Split 400m Individual,Split 450m Cumulative,Split 450m Individual,Split 500m Cumulative,Split 500m Individual,Split 550m Cumulative,Split 550m Individual,Split 600m Cumulative,Split 600m Individual,Split 650m Cumulative,Split 650m Individual,Split 700m Cumulative,Split 700m Individual,Split 750m Cumulative,Split 750m Individual,Split 800m Cumulative,Split 800m Individual,Split 850m Cumulative,Split 850m Individual,Split 900m Cumulative,Split 900m Individual,Split 950m Cumulative,Split 950m Individual,Split 1000m Cumulative,Split 1000m Individual,Split 1050m Cumulative,Split 1050m Individual,Split 1100m Cumulative,Split 1100m Individual,Split 1150m Cumulative,Split 1150m Individual,Split 1200m Cumulative,Split 1200m Individual,Split 1250m Cumulative,Split 1250m Individual,Split 1300m Cumulative,Split 1300m Individual,Split 1350m Cumulative,Split 1350m Individual,Split 1400m Cumulative,Split 1400m Individual,Split 1450m Cumulative,Split 1450m Individual,Split 1500m Cumulative,Split 1500m Individual
Finn Kelly,15,2025-26 NSW Senior State Age Championships,19/12/2025,1500,Freestyle,Long,16:40.4,29.01,29.01,01:00.9,31.89,01:33.7,32.75,02:06.4,32.7,02:39.5,33.12,03:12.8,33.3,03:46.2,33.39,04:19.4,33.23,04:52.6,33.2,05:25.5,32.88,05:59.0,33.5,06:32.3,33.33,07:05.6,33.27,07:38.8,33.23,08:12.6,33.81,08:45.9,33.31,09:19.5,33.56,09:52.8,33.29,10:26.6,33.8,10:59.9,33.36,11:33.9,33.96,12:07.4,33.55,12:41.6,34.2,13:15.5,33.86,13:50.2,34.68,14:24.4,34.18,14:59.3,34.93,15:33.4,34.09,16:07.9,34.48,16:40.4,32.52
Finn Kelly,15,2025 MSW Long Course Championships,26/10/2025,1500,Freestyle,Long,16:46.3,29.46,29.46,01:01.2,31.72,01:33.7,32.52,02:06.6,32.86,02:39.8,33.27,03:13.1,33.26,03:46.7,33.56,04:20.0,33.38,04:54.0,33.93,05:27.3,33.34,06:01.5,34.18,06:35.0,33.48,07:08.5,33.56,07:41.8,33.31,08:15.8,33.95,08:49.1,33.35,09:22.9,33.74,09:56.4,33.5,10:30.4,33.99,11:04.2,33.84,11:38.3,34.11,12:12.4,34.05,12:47.1,34.7,13:20.9,33.84,13:55.4,34.52,14:30.0,34.55,15:04.6,34.67,15:38.8,34.18,16:13.3,34.53,16:46.3,32.99
Finn Kelly,15,2025 Australian Age and MC Age Championships,17/4/2025,1500,Freestyle,Long,17:07.6,29.83,29.83,01:03.3,33.46,01:37.1,33.8,02:10.7,33.63,02:44.7,33.98,03:19.1,34.44,03:53.4,34.31,04:27.9,34.49,05:02.3,34.36,05:36.7,34.41,06:11.0,34.33,06:45.7,34.62,07:20.0,34.3,07:54.5,34.53,08:28.7,34.22,09:03.2,34.46,09:37.8,34.62,10:12.3,34.54,10:46.8,34.42,11:21.3,34.58,11:56.1,34.74,12:30.9,34.86,13:05.5,34.61,13:40.2,34.69,14:15.0,34.81,14:49.9,34.9,15:24.7,34.79,15:59.7,34.93,16:34.4,34.77,17:07.6,33.14
Finn Kelly,15,2025 NSW Senior Metropolitan Championships,22/2/2025,1500,Freestyle,Long,17:15.8,29.84,29.84,01:02.5,32.65,01:36.9,34.4,02:11.2,34.28,02:46.1,34.94,03:20.5,34.38,03:55.4,34.96,04:30.0,34.59,05:05.3,35.23,05:40.3,34.98,06:15.2,34.99,06:50.0,34.75,07:25.4,35.36,08:00.0,34.6,08:35.2,35.23,09:09.8,34.61,09:44.8,35.02,10:19.4,34.57,10:54.4,34.97,11:28.8,34.49,12:03.8,35.01,12:38.4,34.56,13:13.1,34.71,13:48.0,34.83,14:23.2,35.26,14:58.0,34.8,15:33.0,35.01,16:07.9,34.83,16:42.9,35.04,17:15.8,32.87
Finn Kelly,14,2024 Australian Age & MC Age Championships,8/4/2024,1500,Freestyle,Long,17:55.3,31.45,31.45,01:06.6,35.19,01:42.6,35.92,02:18.7,36.09,02:54.8,36.15,03:30.6,35.83,04:06.9,36.24,04:42.7,35.8,05:18.6,35.89,05:54.6,36.04,06:30.7,36.06,07:06.8,36.09,07:43.0,36.29,08:19.2,36.14,08:55.2,36,09:31.3,36.09,10:07.5,36.19,10:44.7,37.23,11:20.9,36.2,11:57.1,36.16,12:33.2,36.12,13:09.2,36.05,13:45.4,36.22,14:21.6,36.11,14:57.3,35.78,15:33.0,35.68,16:09.3,36.3,16:45.2,35.94,17:21.1,35.85,17:55.3,34.17
Finn Kelly,14,2024 NSW Country Championships,19/2/2024,1500,Freestyle,Long,17:56.8,31.28,31.28,01:06.2,34.95,01:42.0,35.78,02:17.8,35.81,02:53.7,35.86,03:29.4,35.7,04:05.6,36.26,04:41.7,36.05,05:17.6,35.95,05:53.7,36.05,06:29.8,36.09,07:05.9,36.16,07:42.1,36.2,08:18.3,36.16,08:54.9,36.63,09:31.1,36.17,10:07.4,36.28,10:43.7,36.3,11:19.7,36.04,11:56.2,36.44,12:32.3,36.09,13:08.8,36.55,13:45.2,36.43,14:21.7,36.44,14:58.2,36.53,15:34.5,36.25,16:10.5,36,16:46.6,36.18,17:22.6,35.97,17:56.8,34.18
Finn Kelly,13,2023-24 NSW Senior State Age Championships,10/12/2023,1500,Freestyle,Long,18:05.6,31.75,31.75,01:06.0,34.23,01:42.1,36.13,02:17.9,35.75,02:54.0,36.17,03:30.0,35.95,04:06.4,36.38,04:42.4,36.03,05:19.1,36.75,05:55.7,36.53,06:32.1,36.4,07:08.3,36.2,07:45.5,37.2,08:21.7,36.24,08:58.7,37.01,09:35.1,36.34,10:12.1,37.05,10:48.6,36.47,11:25.4,36.84,12:02.0,36.57,12:38.7,36.7,13:14.8,36.13,13:52.0,37.19,14:28.5,36.53,15:05.5,37.01,15:42.1,36.55,16:18.7,36.63,16:54.7,35.99,17:30.8,36.08,18:05.6,34.76
